epoch,train_loss,val_loss
1,0.023549190170025228,0.0033729363196806877
2,0.007606040993166128,0.0038369465470051885
3,0.006421553143351128,0.0031097305338229748
4,0.005530227214704283,0.0028818122828867146
5,0.004597351306259445,0.0023494295764421758
6,0.004169355669089467,0.002588948848940566
7,0.003738215521811646,0.003059467419463503
8,0.003363101031916895,0.002821163130899348
9,0.0031773190994940827,0.002427516073866677
10,0.003006286482605063,0.0021992301450244225
11,0.002750055615954882,0.0021755832892407876
12,0.002682800406913662,0.0026418977162922332
13,0.0024958074596420467,0.0024545455055290932
14,0.002245472314336129,0.0022607553792874198
15,0.002189581041407942,0.002135845300693435
16,0.0021238053608860627,0.0020311414393391737
17,0.0020250522557803442,0.0020645498541133527
18,0.0020140325402803077,0.0023969648044739876
19,0.0019417472133786068,0.0021262111562246676
20,0.0018893453876993652,0.0020377075080625115
21,0.0018604284976587188,0.0020422489935549687
22,0.001856690514810873,0.002057731609596369
23,0.00185340593156517,0.0020896349308147234
24,0.0018112761101864733,0.002011348120212858
25,0.001763519782723104,0.0020494100612612255
26,0.0017757859401308664,0.0021374722596103554
27,0.0017809161782652396,0.002071617798482165
28,0.0017649649228122382,0.0020455509798122137
29,0.0017426356728624476,0.002093849002993123
30,0.0017207927079302885,0.0020084479387537913
31,0.0017456610924644462,0.0020304276429348282
32,0.0017080635065759397,0.0020063151328724702
33,0.0017188286537403628,0.0020056192587844103
34,0.0017003588899838881,0.0020334655477245215
35,0.0017234040526250532,0.002115333666264038
36,0.0016965109607895636,0.002034569686341323
37,0.001697844082375927,0.002078423965478387
38,0.0016986995314922713,0.0020374689675158324
39,0.0017132877735843727,0.002042230142464685
40,0.0017003591450409313,0.0020266595059726168
41,0.001693566478530152,0.002054531643847244
42,0.0016787621747929725,0.0020446951254951807
43,0.001714486161652072,0.002007833972993431
44,0.001703180446134988,0.0020256415521944463
45,0.0017005872469270057,0.002003810308495736
46,0.001673227589809174,0.002038319093543684
47,0.0016976153266329045,0.0020368841308896503
48,0.0016687405261055148,0.0020386651199292088
49,0.001690220268401689,0.0020272504359715275
50,0.0016828881544228614,0.0020260239066228424
